Reference,Name,Pronunciation,Image_Reference,Type,Diet,Area,Taxonomy,Named_By,Species,Teeth,Food,Movement,length_in_meter,period_group,period_specific,earliest_period,latest_period,estimated_living_duration,taxonomy_level_0,taxonomy_level_1,taxonomy_level_2,taxonomy_level_3,taxonomy_level_4,taxonomy_level_5,taxonomy_level_6,taxonomy_level_7,taxonomy_level_8,taxonomy_level_9,taxonomy_level_10,taxonomy_level_11,taxonomy_level_12,taxonomy_level_13,taxonomy_level_14,taxonomy_level_15,taxonomy_level_16,named_by_year
https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html,Aardonyx,ar-don-ix,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aardonyx.jpg,sauropod,herbivorous,Mongolia,Dinosauria > Saurischia > Sauropodomorpha > Prosauropoda > Anchisauria,"Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010 (2009)",celestae,,,,8.0,Early Jurassic, 199-189 million years ago,199,189,10,Dinosauria , Saurischia , Sauropodomorpha , Prosauropoda , Anchisauria,,,,,,,,,,,,,2009
https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,Abelisaurus,ah-BEEL-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg,large theropod,carnivorous,Mongolia,Dinosauria > Saurischia > Theropoda > Neotheropoda > Ceratosauria > Neoceratosauria > Abelisauridae > Abelisaurinae,Bonaparte and Novas (1985),comahuensis,,,,9.0,Late Cretaceous, 74-70 million years ago,74,70,4,Dinosauria , Saurischia , Theropoda , Neotheropoda , Ceratosauria , Neoceratosauria , Abelisauridae , Abelisaurinae,,,,,,,,,,1985
https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,Achelousaurus,ah-KEL-oo-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg,ceratopsian,herbivorous,Mongolia,Dinosauria > Ornithischia > Genasauria > Cerapoda > Marginocephalia > Ceratopsia > Neoceratopsia > Coronosauria > Ceratopsidae > Centrosaurinae,Sampson  (1995),horneri,,,,6.0,Late Cretaceous, 83-70 million years ago,83,70,13,Dinosauria , Ornithischia , Genasauria , Cerapoda , Marginocephalia , Ceratopsia , Neoceratopsia , Coronosauria , Ceratopsidae , Centrosaurinae,,,,,,,,1995
https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,Achillobator,a-kil-oh-bah-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg,large theropod,carnivorous,Mongolia,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Maniraptora > Paraves > Eumaniraptora > Dromaeosauridae,"Perle, Norell and Clark (1999)",giganteus,,,,5.0,Late Cretaceous, 99-84 million years ago,99,84,15,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Maniraptora , Paraves , Eumaniraptora , Dromaeosauridae,,,,,1999
https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,Acrocanthosaurus,ah-kroh-kan-tho-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg,large theropod,carnivorous,Mongolia,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Carnosauria > Allosauroidea > Carcharodontosauridae,Stovall and Langston (1950),atokensis,,,,12.0,Early Cretaceous, 115-105 million years ago,115,105,10,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Carnosauria , Allosauroidea , Carcharodontosauridae,,,,,,,,,1950
https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,Aegyptosaurus,ee-JIP-toe-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg,sauropod,herbivorous,Mongolia,Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Macronaria > Camarasauromorpha > Titanosauriformes > Titanosauria,Stromer (1932),baharijensis,,,,15.0,Late Cretaceous, 98-93 million years ago,98,93,5,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Macronaria , Camarasauromorpha , Titanosauriformes , Titanosauria,,,,,,,,1932
https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,Afrovenator,aff-ROW-ven-ah-tor,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg,large theropod,carnivorous,Mongolia,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Spinosauroidea > Megalosauridae > Eustreptospondylinae,"Sereno, Wilson, Larsson, Dutheil and Sues (1944)",abakensis,,,,9.0,Early Cretaceous, 132-121 million years ago,132,121,11,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Spinosauroidea , Megalosauridae , Eustreptospondylinae,,,,,,,,,,1944
https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,Agilisaurus,aj-i-li-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg,euornithopod,herbivorous,Mongolia,Dinosauria > Ornithischia > Genasauria > Cerapoda > Ornithopoda > Euornithopoda,Peng (1990),louderbacki,,,,1.5,Late Jurassic, 169-159 million years ago,169,159,10,Dinosauria , Ornithischia , Genasauria , Cerapoda , Ornithopoda , Euornithopoda,,,,,,,,,,,,1990
https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,Alamosaurus,ah-la-mow-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg,sauropod,herbivorous,Mongolia,Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Macronaria > Camarasauromorpha > Titanosauriformes > Titanosauria > Lithostrotia,Gilmore (1922),sanjuanensis,,,,21.0,Late Cretaceous, 70-65 million years ago,70,65,5,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Macronaria , Camarasauromorpha , Titanosauriformes , Titanosauria , Lithostrotia,,,,,,,1922
https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,Albertaceratops,al-bert-a-serra-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg,ceratopsian,herbivorous,Mongolia,Dinosauria > Ornithischia,Ryan 2007,nesmoi,,,,7.0,Late Cretaceous, 80-75 million years ago,80,75,5,Dinosauria , Ornithischia,,,,,,,,,,,,,,,,
https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,Albertosaurus,al-BERT-oh-saw-russ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg,large theropod,carnivorous,Canada,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Tyrannosauroidea > Tyrannosauridae > Albertosaurinae,Lamb (1914),libratus,"saw-edged, flesh-slicing teeth",probably plant-eating dinosaurs,on 2 legs,9.0,Late Cretaceous, 76-74 million years ago,76,74,2,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Tyrannosauroidea , Tyrannosauridae , Albertosaurinae,,,,,,,1914
https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,Alectrosaurus,ah-LEK-tro-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg,large theropod,carnivorous,Canada,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Tyrannosauroidea,Gilmore (1933),olseni,,,,5.0,Late Cretaceous, 90-70 million years ago,90,70,20,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Tyrannosauroidea,,,,,,,,,1933
https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,Alioramus,al-ee-oh-ray-mus,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg,large theropod,carnivorous,Canada,Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Tyrannosauroidea,Kurzanov (1976),remotus,,,,6.0,Late Cretaceous, 71-65 million years ago,71,65,6,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Tyrannosauroidea,,,,,,,,,1976
https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,Allosaurus,AL-oh-saw-russ,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg,large theropod,carnivorous,"Portugal,USA",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Carnosauria > Allosauroidea > Allosauridae,Marsh (1877),fragilis,dagger-like with serrated edges,"Stegosaurus, Diplodocus and others",on 2 legs,12.0,Late Jurassic, 156-144 million years ago,156,144,12,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Carnosauria , Allosauroidea , Allosauridae,,,,,,,,,1877
https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,Alvarezsaurus,al-var-rez-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg,small theropod,carnivorous,"Portugal,USA",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Maniraptora > Alvarezsauridae,Bonaparte (1991),calvoi,,,,2.0,Late Cretaceous, 89-85 million years ago,89,85,4,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Maniraptora , Alvarezsauridae,,,,,,,1991
https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,Amargasaurus,A-MARG-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg,sauropod,herbivorous,"Portugal,USA",Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Diplodocoidea > Dicraeosauridae,Salgado and Bonaparte (1991),cazaui,teeth for grinding and chewing,tough plants,,12.0,Late Cretaceous, 89-85 million years ago,89,85,4,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Diplodocoidea , Dicraeosauridae,,,,,,,,,,1991
https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,Ammosaurus,ah-moh-SORE-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg,sauropod,herbivorous,"Portugal,USA",Dinosauria > Saurischia > Sauropodomorpha > Prosauropoda > Anchisauria > Anchisauridae,Marsh (1891),major,,,,5.0,Early Jurassic, 195-180 million years ago,195,180,15,Dinosauria , Saurischia , Sauropodomorpha , Prosauropoda , Anchisauria , Anchisauridae,,,,,,,,,,,,1891
https://www.nhm.ac.uk/discover/dino-directory/ampelosaurus.html,Ampelosaurus,am-pel-oh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ampelosaurus.jpg,sauropod,herbivorous,"Portugal,USA",Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda > Neosauropoda > Macronaria > Camarasauromorpha > Titanosauriformes > Titanosauria > Lithostrotia,Le Loeuff (1995),atacis,,,,15.0,Late Cretaceous, 71-65 million years ago,71,65,6,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda , Neosauropoda , Macronaria , Camarasauromorpha , Titanosauriformes , Titanosauria , Lithostrotia,,,,,,,1995
https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html,Amygdalodon,am-ig-dal-oh-don,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amygdalodon.jpg,sauropod,herbivorous,"Portugal,USA",Dinosauria > Saurischia > Sauropodomorpha > Sauropoda > Eusauropoda,Cabrera (1947),patagonicus,,,,15.0,Mid Jurassic, 177-169 million years ago,177,169,8,Dinosauria , Saurischia , Sauropodomorpha , Sauropoda , Eusauropoda,,,,,,,,,,,,,1947
https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html,Anchiceratops,an-key-SERRA-tops,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi2.jpg,ceratopsian,herbivorous,"Portugal,USA",Dinosauria > Ornithischia > Genasauria > Cerapoda > Marginocephalia > Ceratopsia > Neoceratopsia > Coronosauria > Ceratopsidae > Chasmosaurinae,Brown (1914),ornatus,,,,6.0,Late Cretaceous, 74-70 million years ago,74,70,4,Dinosauria , Ornithischia , Genasauria , Cerapoda , Marginocephalia , Ceratopsia , Neoceratopsia , Coronosauria , Ceratopsidae , Chasmosaurinae,,,,,,,,1914
https://www.nhm.ac.uk/discover/dino-directory/anchisaurus.html,Anchisaurus,ANK-ee-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi.jpg,sauropod,herbivorous,"Portugal,USA",Dinosauria > Saurischia > Sauropodomorpha > Prosauropoda > Anchisauria > Anchisauridae,Marsh (1885),polyzelous,,,,2.0,Early Jurassic, 190 million years ago,190,0,190,Dinosauria , Saurischia , Sauropodomorpha , Prosauropoda , Anchisauria , Anchisauridae,,,,,,,,,,,,1885
https://www.nhm.ac.uk/discover/dino-directory/ankylosaurus.html,Ankylosaurus,an-KIE-loh-sore-us,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ankyl.jpg,armoured dinosaur,herbivorous,"Canada,USA",Dinosauria > Ornithischia > Genasauria > Thyreophora > Ankylosauromorpha > Ankylosauria > Ankylosauridae,Brown (1908),magniventris,grinding teeth with a horny beak at the front,plant material,on 4 legs,7.0,Late Cretaceous, 74-67 million years ago,74,67,7,Dinosauria , Ornithischia , Genasauria , Thyreophora , Ankylosauromorpha , Ankylosauria , Ankylosauridae,,,,,,,,,,,1908
https://www.nhm.ac.uk/discover/dino-directory/anserimimus.html,Anserimimus,ANN-ser-ih-mee-muss,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anseri.jpg,large theropod,carnivorous,"Canada,USA",Dinosauria > Saurischia > Theropoda > Neotheropoda > Tetanurae > Avetheropoda > Coelurosauria > Tyrannoraptora > Maniraptoriformes > Ornithomimosauria > Ornithomimidae,Barsbold (1988),planinychus,,,,3.5,Late Cretaceous, 84-65 million years ago,84,65,19,Dinosauria , Saurischia , Theropoda , Neotheropoda , Tetanurae , Avetheropoda , Coelurosauria , Tyrannoraptora , Maniraptoriformes , Ornithomimosauria , Ornithomimidae,,,,,,,1988
